,Communication Preference,Age,College Degree,Gender,,,,,,,,,
,Phone,Teen,Non/Degree,Female,,,,,,,,,
,Phone,Teen,Non/Degree,Female,,,,,,,,,
,Phone,Teen,Non/Degree,Female,,,,,,,,,
,Phone,Non-Teen,Degree,Male,,,,,,,,,
,Phone,Teen,Non/Degree,Female,,,,,,,,,
,Phone,Teen,Non/Degree,Female,,,,,,,,,
,Phone,Teen,Non/Degree,Female,,,,,,,,,
,Phone,Non-Teen,Degree,Male,,,,,,,,,
,Phone,Teen,Non/Degree,Male,,,,,,,,,
,Phone,Teen,Non/Degree,Male,,,,,,,,,
,Phone,Teen,Non/Degree,Male,,,,,,,,,
,Phone,Teen,Non/Degree,Male,,,,,,,,,
,Phone,Teen,Non/Degree,Male,,,,,,,,,
,Phone,Non-Teen,Degree,Male,,,,,,,,,
,Phone,Teen,Non/Degree,Male,,,,,,,,,
,Phone,Teen,Non/Degree,Male,,,,,,,,,
,Phone,Teen,Non/Degree,Male,,,,,,,,,
,Phone,Teen,Non/Degree,Male,,,,,,,,,
,Phone,Teen,Non/Degree,Male,,,,,,,,,
,Phone,Non-Teen,Degree,Male,,,,,,,,,
,Phone,Non-Teen,Degree,Male,,,,,,,,,
,Phone,Non-Teen,Degree,Male,,,,,,,,,
,Phone,Non-Teen,Degree,Male,,,,,,,,,
,Phone,Non-Teen,Degree,Male,,,,,,,,,
,Phone,Non-Teen,Degree,Male,,,,,,,,,
,Phone,Non-Teen,Degree,Female,,,,,,,,,
,Phone,Non-Teen,Degree,Female,,,,,,,,,
,Phone,Non-Teen,Degree,Female,,,,,,,,,
,Phone,Non-Teen,Degree,Female,,,,,,,,,
,Phone,Non-Teen,Degree,Female,,,,,,,,,
,Phone,Non-Teen,Degree,Female,,,,,,,,,
,Phone,Non-Teen,Degree,Female,,,,,,,,,
,Phone,Non-Teen,Degree,Female,,,,,,,,,
,Phone,Non-Teen,Degree,Female,,,,,,,,,
,Phone,Non-Teen,Degree,Female,,,,,,,,,
,Phone,Non-Teen,Degree,Female,,,,,,,,,
,Phone,Non-Teen,Degree,Female,,,,,,,,,
,Phone,Non-Teen,Degree,Female,,,,,,,,,
,Phone,Non-Teen,Degree,Female,,,,,,,,,
,Phone,Non-Teen,Degree,Female,,,,,,,,,
,Phone,Non-Teen,Degree,Male,,,,,,,,,
,Phone,Non-Teen,Degree,Male,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Non-Teen,Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Non-Teen,Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Non-Teen,Degree,Female,,,,,,,,,
,Texting,Non-Teen,Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Non-Teen,Degree,Male,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Male,,,,,,,,,
,Texting,Teen,Non/Degree,Male,,,,,,,,,
,Texting,Teen,Non/Degree,Male,,,,,,,,,
,Texting,Teen,Non/Degree,Male,,,,,,,,,
,Texting,Non-Teen,Degree,Female,,,,,,,,,
,Texting,Non-Teen,Degree,Female,,,,,,,,,
,Texting,Teen,Non/Degree,Male,,,,,,,,,
,Texting,Non-Teen,Degree,Female,,,,,,,,,
,Texting,Non-Teen,Degree,Female,,,,,,,,,
,Texting,Non-Teen,Degree,Female,,,,,,,,,
,Texting,Non-Teen,Degree,Female,,,,,,,,,
,Texting,Non-Teen,Degree,Female,,,,,,,,,
,Texting,Non-Teen,Degree,Female,,,,,,,,,
,Texting,Non-Teen,Degree,Female,,,,,,,,,
,Texting,Non-Teen,Degree,Female,,,,,,,,,
,Texting,Non-Teen,Degree,Female,,,,,,,,,
,Texting,Non-Teen,Degree,Male,,,,,,,,,
,Texting,Non-Teen,Degree,Male,,,,,,,,,
,Texting,Non-Teen,Degree,Male,,,,,,,,,
,Texting,Non-Teen,Degree,Male,,,,,,,,,
